Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	9.40879682e-001	-1.79120318e-001	-1.02592838e+001	-0.00000000e+000	4.4271e+003	1.0003e+016	-1.0000e+016
5.000000e+001	9.40874552e-001	-1.79125448e-001	-1.01469889e+001	0.00000000e+000	4.4279e+003	1.0001e+016	-1.0000e+016
1.000000e+002	9.40869479e-001	-1.79130521e-001	-1.01839118e+001	0.00000000e+000	4.4288e+003	9.9995e+015	-1.0000e+016
1.500000e+002	9.40864387e-001	-1.79135613e-001	-1.03705662e+001	0.00000000e+000	4.4297e+003	9.9975e+015	-1.0000e+016
2.000000e+002	9.40859202e-001	-1.79140798e-001	-1.07096659e+001	0.00000000e+000	4.4306e+003	9.9955e+015	-1.0000e+016
2.500000e+002	9.40853847e-001	-1.79146153e-001	-1.12061636e+001	0.00000000e+000	4.4315e+003	9.9935e+015	-1.0000e+016
3.000000e+002	9.40848244e-001	-1.79151756e-001	-1.18673214e+001	0.00000000e+000	4.4324e+003	9.9913e+015	-1.0000e+016
3.500000e+002	9.40842310e-001	-1.79157690e-001	-1.27028151e+001	0.00000000e+000	4.4335e+003	9.9890e+015	-1.0000e+016
4.000000e+002	9.40835959e-001	-1.79164041e-001	-1.37248743e+001	0.00000000e+000	4.4345e+003	9.9866e+015	-1.0000e+016
4.500000e+002	9.40829096e-001	-1.79170904e-001	-1.49484583e+001	0.00000000e+000	4.4357e+003	9.9839e+015	-1.0000e+016
5.000000e+002	9.40821622e-001	-1.79178378e-001	-1.63914724e+001	0.00000000e+000	4.4370e+003	9.9810e+015	-1.0000e+016
5.500000e+002	9.40813426e-001	-1.79186574e-001	-1.80750258e+001	0.00000000e+000	4.4384e+003	9.9779e+015	-1.0000e+016
6.000000e+002	9.40804389e-001	-1.79195611e-001	-2.00237358e+001	0.00000000e+000	4.4400e+003	9.9744e+015	-1.0000e+016
6.500000e+002	9.40794377e-001	-1.79205623e-001	-2.22660812e+001	0.00000000e+000	4.4417e+003	9.9705e+015	-1.0000e+016
7.000000e+002	9.40783244e-001	-1.79216756e-001	-2.48348111e+001	0.00000000e+000	4.4436e+003	9.9662e+015	-1.0000e+016
7.500000e+002	9.40770827e-001	-1.79229173e-001	-2.77674132e+001	0.00000000e+000	4.4457e+003	9.9614e+015	-1.0000e+016
8.000000e+002	9.40756943e-001	-1.79243057e-001	-3.11066481e+001	0.00000000e+000	4.4481e+003	9.9561e+015	-1.0000e+016
8.500000e+002	9.40741390e-001	-1.79258610e-001	-3.49011571e+001	0.00000000e+000	4.4508e+003	9.9501e+015	-1.0000e+016
9.000000e+002	9.40723939e-001	-1.79276061e-001	-3.92061505e+001	0.00000000e+000	4.4538e+003	9.9434e+015	-1.0000e+016
9.500000e+002	9.40704336e-001	-1.79295664e-001	-4.40841846e+001	0.00000000e+000	4.4572e+003	9.9358e+015	-1.0000e+016
1.000000e+003	9.40682294e-001	-1.79317706e-001	-4.96060385e+001	0.00000000e+000	4.4610e+003	9.9274e+015	-1.0000e+016
1.050000e+003	9.40657491e-001	-1.79342509e-001	-5.58516991e+001	0.00000000e+000	4.4653e+003	9.9179e+015	-1.0000e+016
1.100000e+003	9.40629565e-001	-1.79370435e-001	-6.29114668e+001	0.00000000e+000	4.4701e+003	9.9071e+015	-1.0000e+016
