Y (ang)	el Psi 1	el Psi 2	hh Psi 1	hh Psi 2	hh Psi 3	hh Psi 4	hh Psi 5	hh Psi 6	hh Psi 7	hh Psi 8	hh Psi 9	hh Psi 10	hh Psi 11	hh Psi 12	hh Psi 13	hh Psi 14	lh Psi 1	lh Psi 2	lh Psi 3	lh Psi 4	lh Psi 5	lh Psi 6	lh Psi 7	lh Psi 8	lh Psi 9	lh Psi 10	lh Psi 11	lh Psi 12	lh Psi 13	lh Psi 14
2.000000e+001	1.7029e-024	-1.3480e-023	5.5843e-010	2.1462e-009	6.6200e-009	6.0846e-008	3.3805e-009	1.6304e-006	6.8670e-010	3.6327e-005	8.9111e-011	6.5200e-004	8.9422e-003	-9.1490e-012	8.5447e-002	-1.4524e-014	5.5843e-010	2.1462e-009	6.6200e-009	6.0846e-008	3.3805e-009	1.6304e-006	6.8670e-010	3.6327e-005	8.9111e-011	6.5200e-004	8.9422e-003	-9.1490e-012	8.5447e-002	-1.4524e-014
3.000000e+001	7.8179e-024	-5.3261e-023	1.7522e-008	6.3123e-008	1.7123e-007	1.5502e-006	7.2169e-008	3.4353e-005	1.1561e-008	6.0509e-004	1.0980e-009	7.9821e-003	7.0009e-002	-7.1435e-011	2.9625e-001	-4.7847e-014	1.7522e-008	6.3123e-008	1.7123e-007	1.5502e-006	7.2169e-008	3.4353e-005	1.1561e-008	6.0509e-004	1.0980e-009	7.9821e-003	7.0009e-002	-7.1435e-011	2.9625e-001	-4.7847e-014
4.000000e+001	4.6609e-023	-2.8157e-022	4.8942e-007	1.6389e-006	3.8376e-006	3.4141e-005	1.2909e-006	6.0494e-004	1.5447e-007	7.9767e-003	9.6910e-009	6.9817e-002	3.0014e-001	-3.0472e-010	-6.9767e-002	2.0258e-014	4.8942e-007	1.6389e-006	3.8376e-006	3.4141e-005	1.2909e-006	6.0494e-004	1.5447e-007	7.9767e-003	9.6910e-009	6.9817e-002	3.0014e-001	-3.0472e-010	-6.9767e-002	2.0258e-014
5.000000e+001	3.0764e-022	-1.6723e-021	1.1508e-005	3.5308e-005	6.9046e-005	6.0100e-004	1.7382e-005	7.9766e-003	1.3797e-006	6.9816e-002	4.2445e-008	3.0021e-001	-6.9811e-002	7.7665e-011	8.0199e-003	-4.4003e-014	1.1508e-005	3.5308e-005	6.9046e-005	6.0100e-004	1.7382e-005	7.9766e-003	1.3797e-006	6.9816e-002	4.2445e-008	3.0021e-001	-6.9811e-002	7.7665e-011	8.0199e-003	-4.4003e-014
6.000000e+001	2.2166e-021	-1.0951e-020	2.1971e-004	6.0455e-004	9.3673e-004	7.9198e-003	1.5699e-004	6.9816e-002	6.1819e-006	3.0021e-001	-6.3400e-009	-6.9816e-002	7.9766e-003	-3.9698e-011	-6.1068e-004	3.7349e-013	2.1971e-004	6.0455e-004	9.3673e-004	7.9198e-003	1.5699e-004	6.9816e-002	6.1819e-006	3.0021e-001	-6.3400e-009	-6.9816e-002	7.9766e-003	-3.9698e-011	-6.1068e-004	3.7349e-013
7.000000e+001	1.7304e-020	-7.8331e-020	3.2227e-003	7.6753e-003	8.5565e-003	6.9255e-002	7.1921e-004	3.0020e-001	-2.7721e-007	-6.9816e-002	-1.4960e-008	7.9767e-003	-6.0497e-004	2.7362e-010	3.4780e-005	-4.9468e-012	3.2227e-003	7.6753e-003	8.5565e-003	6.9255e-002	7.1921e-004	3.0020e-001	-2.7721e-007	-6.9816e-002	-1.4960e-008	7.9767e-003	-6.0497e-004	2.7362e-010	3.4780e-005	-4.9468e-012
8.000000e+001	1.4545e-019	-6.0739e-019	3.2994e-002	6.3408e-002	4.0083e-002	2.9723e-001	4.2772e-005	-6.9815e-002	-5.0077e-006	7.9764e-003	1.3723e-007	-6.0493e-004	3.4352e-005	-3.5893e-009	-1.5823e-006	8.7564e-011	3.2994e-002	6.3408e-002	4.0083e-002	2.9723e-001	4.2772e-005	-6.9815e-002	-5.0077e-006	7.9764e-003	1.3723e-007	-6.0493e-004	3.4352e-005	-3.5893e-009	-1.5823e-006	8.7564e-011
9.000000e+001	1.3096e-018	-5.0739e-018	1.9118e-001	2.4125e-001	6.6595e-003	-7.1693e-002	-8.9614e-004	7.9895e-003	4.3595e-005	-6.0471e-004	-1.7915e-006	3.4327e-005	-1.5581e-006	6.3176e-008	5.9899e-008	-1.9382e-009	1.9118e-001	2.4125e-001	6.6595e-003	-7.1693e-002	-8.9614e-004	7.9895e-003	4.3595e-005	-6.0471e-004	-1.7915e-006	3.4327e-005	-1.5581e-006	6.3176e-008	5.9899e-008	-1.9382e-009
1.000000e+002	1.8208e-017	-6.5613e-017	2.4551e-001	-1.8631e-001	-6.7091e-002	2.1328e-002	7.6388e-003	-8.8826e-004	-5.6545e-004	4.4324e-005	3.1391e-005	-1.8968e-006	6.9160e-008	-1.3934e-006	-2.2266e-009	5.1519e-008	2.4551e-001	-1.8631e-001	-6.7091e-002	2.1328e-002	7.6388e-003	-8.8826e-004	-5.6545e-004	4.4324e-005	3.1391e-005	-1.8968e-006	6.9160e-008	-1.3934e-006	-2.2266e-009	5.1519e-008
1.100000e+002	3.9860e-016	-1.3519e-015	4.5345e-002	-5.4425e-002	2.9853e-001	-3.3599e-002	-6.8351e-002	3.0948e-004	7.6345e-003	-5.0552e-006	-5.6615e-004	1.4050e-007	-3.8510e-009	3.1436e-005	9.9670e-011	-1.3952e-006	4.5345e-002	-5.4425e-002	2.9853e-001	-3.3599e-002	-6.8351e-002	3.0948e-004	7.6345e-003	-5.0552e-006	-5.6615e-004	1.4050e-007	-3.8510e-009	3.1436e-005	9.9670e-011	-1.3952e-006
