Y (ang)	el Psi 1	el Psi 2	hh Psi 1	hh Psi 2	lh Psi 1	lh Psi 2
2.000000e+001	1.7052e-024	-1.6807e-023	5.5843e-010	2.1462e-009	5.5843e-010	2.1462e-009
3.000000e+001	7.8282e-024	-6.5890e-023	1.7522e-008	6.3123e-008	1.7522e-008	6.3123e-008
4.000000e+001	4.6669e-023	-3.4617e-022	4.8941e-007	1.6389e-006	4.8941e-007	1.6389e-006
5.000000e+001	3.0802e-022	-2.0449e-021	1.1508e-005	3.5308e-005	1.1508e-005	3.5308e-005
6.000000e+001	2.2193e-021	-1.3326e-020	2.1971e-004	6.0455e-004	2.1971e-004	6.0455e-004
7.000000e+001	1.7325e-020	-9.4894e-020	3.2227e-003	7.6753e-003	3.2227e-003	7.6753e-003
8.000000e+001	1.4562e-019	-7.3283e-019	3.2994e-002	6.3408e-002	3.2994e-002	6.3408e-002
9.000000e+001	1.3111e-018	-6.0988e-018	1.9118e-001	2.4125e-001	1.9118e-001	2.4125e-001
1.000000e+002	1.8229e-017	-7.8578e-017	2.4551e-001	-1.8631e-001	2.4551e-001	-1.8631e-001
1.100000e+002	3.9905e-016	-1.6142e-015	4.5345e-002	-5.4425e-002	4.5345e-002	-5.4425e-002
1.200000e+002	8.1381e-015	-3.0749e-014	4.5529e-003	-6.8180e-003	4.5529e-003	-6.8180e-003
1.300000e+002	1.5614e-013	-5.4864e-013	3.1422e-004	-5.4469e-004	3.1422e-004	-5.4469e-004
1.400000e+002	2.8075e-012	-9.1266e-012	1.6526e-005	-3.1959e-005	1.6526e-005	-3.1959e-005
1.500000e+002	4.7090e-011	-1.4080e-010	7.0225e-007	-1.4820e-006	7.0225e-007	-1.4820e-006
1.600000e+002	7.3298e-010	-2.0020e-009	2.5034e-008	-5.6817e-008	2.5034e-008	-5.6817e-008
1.700000e+002	1.0523e-008	-2.6046e-008	7.6862e-010	-1.8566e-009	7.6862e-010	-1.8566e-009
1.800000e+002	1.3836e-007	-3.0734e-007	2.0725e-011	-5.2868e-011	2.0725e-011	-5.2868e-011
1.900000e+002	1.6518e-006	-3.2542e-006	4.9818e-013	-1.3339e-012	4.9818e-013	-1.3339e-012
2.000000e+002	1.7718e-005	-3.0508e-005	1.0802e-014	-3.0212e-014	1.0802e-014	-3.0212e-014
2.100000e+002	1.6857e-004	-2.4892e-004	2.1335e-016	-6.2080e-016	2.1335e-016	-6.2080e-016
2.200000e+002	1.3988e-003	-1.7274e-003	3.8687e-018	-1.1673e-017	3.8687e-018	-1.1673e-017
2.300000e+002	9.9022e-003	-9.8711e-003	6.4843e-020	-2.0233e-019	6.4843e-020	-2.0233e-019
2.400000e+002	5.7975e-002	-4.4221e-002	1.0103e-021	-3.2521e-021	1.0103e-021	-3.2521e-021
2.500000e+002	2.1540e-001	-1.1808e-001	1.5730e-023	-5.2233e-023	1.5730e-023	-5.2233e-023
2.600000e+002	1.7856e-001	-1.0417e-002	2.6014e-025	-8.9286e-025	2.6014e-025	-8.9286e-025
2.700000e+002	1.1374e-001	1.0586e-001	4.4592e-027	-1.5839e-026	4.4592e-027	-1.5839e-026
2.800000e+002	6.3376e-002	1.6462e-001	7.8222e-029	-2.8777e-028	7.8222e-029	-2.8777e-028
2.900000e+002	3.2306e-002	1.6310e-001	1.3950e-030	-5.3186e-030	1.3950e-030	-5.3186e-030
3.000000e+002	1.5095e-002	1.2218e-001	2.5189e-032	-9.9574e-032	2.5189e-032	-9.9574e-032
3.100000e+002	5.7537e-003	6.3029e-002	4.5551e-034	-1.8762e-033	4.5910e-034	-1.8823e-033
3.200000e+002	-1.9418e-004	-1.2138e-003	-1.8827e-034	2.8569e-034	8.4210e-036	-3.5818e-035
3.300000e+002	8.5328e-004	8.9083e-003	1.9464e-034	-3.0666e-034	0.0000e+000	0.0000e+000
